,tweet_text
5564,"['mention', 'best', 'thing', 'heard', 'weekend', 'sxsw', 'quot', 'give', 'ipad', 'money', 'japan', 'relief', 'need', 'ipad', 'quot']"
3549,"['mention', 'feel', 'many', 'shiny', 'new', 'ipad', 'sxsw']"
1245,"['apple', 'set', 'open', 'popup', 'shop', 'core', 'sxsw', 'action', 'link', 'via', 'mention', 'sxsw']"
3807,"['mention', 'ipad', 'apple', 'fanboy', 'line', 'sxsw', '6th', 'amp', 'congress', 'drink', 'mention', 'wear', 'mention', 'amp', 'mention', 'corporatewhore', 'dmad']"
4837,"['excited', 'part', 'mention', 'twitter', 'family', 'stop', 'pepsico', 'playground', 'sxsw', 'learn', 'win', 'ipad']"
7026,"['awesome', 'conversation', 'network', 'line', 'sxsw', 'apple', 'store']"
5108,"['mention', 'mention', 'sxsw', 'quot', 'really', 'great', 'social', 'search', 'probably', 'good', 'idea', 'google', 'quot', 'mention']"
1644,"['sxsw', 'mention', 'wow', 'apple', 'right', 'thing', 'japan', 'must', 'read', 'link']"
7663,"['farmer', 'prefer', 'balckberries', 'iphones', 'andriod', 'device', 'durable', 'anti', 'apple', 'feeling', 'mobilefarm', 'sxsw']"
8037,"['apple', 'smart', 'ipad', 'take', 'sxsw', 'video', 'link', 'sxswi']"
577,"['mention', 'google', 'launch', 'major', 'new', 'social', 'network', 'call', 'circle', 'possibly', 'today', 'link', 'sxsw', 'hnwsxsw']"
3186,"['line', 'ipad', 'sxsw', 'link']"
2247,"['chrome', 'web', 'store', 'google', 'call', 'html5', 'hot', 'tub', 'sxsw', 'steamy', 'hot', 'nerd']"
1776,"['aos', 'ipad', 'giveaway', 'pick', 'steam', 'sxswi', 'sxsw', 'mention', 'mashable', 'mashbash', 'sxswi', 'link', 'photo']"
1167,"['check', 'new', 'mention', 'app', 'link', 'gonna', 'huge', 'next', 'week', 'sxsw', 'beyond']"
4623,"['well', 'ipad', 'really', 'perfect', 'device', 'sxsw']"
7032,"['hotpot', 'google', 'marissameyer', 'next', 'clevelandsteamer', 'sxsw']"
416,"['sxsw', 'mention', 'iphone', 'amp', 'come', 'booth', 'acc', 'hall', 'snap', 'pic', 'amp', 'send', 'fightthepaddle', 'link']"
3088,"['youtube', 'get', 'view', 'day', 'mobile', 'hour', 'video', 'upload', 'every', 'minute', 'mention', 'google', 'league', 'extraordinary', 'hacker', 'sxsw']"
8332,"['tablet', 'phone', 'laptop', 'evidence', 'sxsw', 'might', 'well', 'call', 'country', 'united', 'state', 'apple', 'sxswsa']"
2166,"['mention', 'atleast', 'sxsw', 'ipad', 'doubleloser']"
6638,"['mention', 'rumor', 'apple', 'store', 'open', 'sxsw', '6th', 'amp', 'congress', 'sign', 'point', 'yes', 'link']"
760,"['google', 'launch', 'major', 'new', 'social', 'network', 'call', 'circle', 'link', 'sxsw', 'mention']"
1386,"['new', 'kick', 'clif', 'bar', 'amp', 'ipad', 'sxsw', 'link']"
5591,"['mention', 'cameron', 'sinclair', 'mention', 'spearhead', 'japan', 'disaster', 'relief', 'sxsw', 'via', 'twitter', 'amp', 'iphone', 'link', 'retweet']"
1202,"['thousand', 'ipad', 'float', 'around', 'austin', 'sxsw', 'see', 'even', 'one', 'single', 'android', 'tablet', 'even', 'one', 'zero']"
6206,"['mention', 'find', 'new', 'mapquest', 'iphone', 'app', 'turn', 'turn', 'gps', 'free', 'time', 'check', 'get', 'reacquaint', 'sxsw']"
6217,"['mention', 'saw', 'preview', 'new', 'mention', 'ipad', 'app', 'awesome', 'sxsw']"
7773,"['true', 'mention', 'way', 'truly', 'understand', 'material', 'making', 'thing', 'jonathan', 'ive', 'apple', 'design', 'sxsw']"
3273,"['litle', 'girl', 'want', 'ipad', 'guess', 'get', 'get', 'one', 'sxsw', 'check', 'apple', 'pop', 'store', 'link']"
8894,"['mention', 'size', 'get', 'get', 'apple', 'pop', 'store', 'open', 'sxsw']"
2859,"['keep', 'stuff', 'mention', 'launch', 'mention', 'like', 'reward', 'sxsw', 'link', 'via', 'mention']"
8099,"['start', 'google', 'doodle', 'burn', 'man', 'pac', 'man', 'beyond', 'let', 'ser', 'get', 'new', 'idea', 'sapo', 'sxsw']"
4339,"['thanks', 'mention', 'lovin', 'mention', 'app', 'update', 'iphone', 'sure', 'download', 'amp', 'familiarize', 'sxsw', 'usguys']"
6694,"['mention', 'sure', 'total', 'scene', 'mention', 'speak', 'austin', 'apple', 'store', 'cautiously', 'optimistic', 'nerd', 'sxsw']"
1898,"['load', 'groupme', 'app', 'iphone', 'load', 'sxsw', 'brother', 'link']"
783,"['google', 'launch', 'major', 'new', 'social', 'network', 'call', 'circle', 'possibly', 'today', 'link', 'sxsw', 'mention', 'via', 'mention']"
5609,"['mention', 'check', 'dokobots', 'game', 'mention', 'iphone', 'android', 'seem', 'pretty', 'cool', 'geogames', 'sxsw', 'tmsxsw']"
329,"['nerd', 'bait', 'sxsw', 'apple', 'set', 'open', 'popup', 'shop', 'core', 'sxsw', 'action', 'link']"
8179,"['mention', 'agnerd', 'confession', 'use', 'laptop', 'ipad', 'blackberry', 'follow', 'sxsw', 'afar', 'see', 'agchat']"
5553,"['mention', 'ben', 'benieuwd', 'mention', 'interrupt', 'regularly', 'schedule', 'sxsw', 'geek', 'program', 'big', 'news', 'link', 'google', 'circle']"
3154,"['kick', 'mingly', 'sxsw', 'apple', 'day', 'giveaway', 'register', 'win', 'link', 'win']"
7223,"['mention', 'social', 'calendar', 'app', 'roll', 'special', 'sxsw', 'functionality', 'iphone', 'android', 'link']"
3323,"['mention', 'good', 'job', 'mention', 'sxsw', 'go', 'home', 'amp', 'watch', 'season', 'guild', 'suck', 'tweet', 'abt', 'iphone', 'hijack', 'top', 'tweet', 'lol']"
8989,"['crazy', 'much', 'culture', 'document', 'google', 'doodle', 'sxsw']"
1112,"['apple', 'store', 'look', 'home', 'downtown', 'austin', 'sxsw', 'sxtxstate', 'mention', 'apple', 'store', 'sxsw', 'link', 'photo']"
2226,"['marissa', 'mayer', 'google', 'map', 'usage', 'mobile', '150', 'million', 'mobileåêusers', 'link', 'via', 'mention', 'sxsw', 'goog']"
7212,"['google', 'put', 'engineer', 'formerly', 'behind', 'real', 'estate', 'listing', 'renew', 'google', 'checkout', 'project', 'sxsw']"
6022,"['mention', 'need', 'another', 'mention', 'google', 'launch', 'major', 'new', 'social', 'network', 'call', 'circle', 'possibly', 'today', 'link', 'sxsw']"
2229,"['marissa', 'mayer', 'google', 'map', 'well', 'customer', 'service', 'quicker', 'responses', 'sxsw']"
1282,"['apple', 'pop', 'store', 'sxsw', 'pop', 'genius', 'bar', 'everywhere']"
972,"['apple', 'open', 'pop', 'shop', 'sxsw', 'report', 'link']"
6461,"['mention', 'questioner', 'sxsw', 'say', 'quot', 'thanks', 'big', 'fan', 'quot', 'google', 'mention', 'cause', 'giggle', 'audience', 'laugh']"
4535,"['line', 'ipad', 'mention', 'mention', 'sxsw']"
3602,"['apple', 'say', 'open', 'temporary', 'store', 'sxsw', 'link', 'via', 'mention']"
2555,"['fest', 'tip', 'iphone', 'douche', 'put', 'away', 'phone', 'talk', 'fellow', 'festgoers', 'line', 'etc', 'good', 'people', 'love', 'film', 'sxsw']"
5307,"['mention', 'sxsw', 'news', 'apple', 'get', 'music', 'business', 'new', 'device', 'call', 'quot', 'ipod', 'quot', 'like', 'compact', 'disc', 'player', 'without', 'disk']"
3298,"['quot', 'google', 'product', 'need', 'condense', 'quot', 'merissa', 'mayor', 'sxsw', 'conference', '2011', 'link']"
971,"['apple', 'open', 'pop', 'store', 'sxsw', 'time', 'ipad2', 'sale', 'link']"
8020,"['chris', 'messina', 'google', 'think', 'scope', 'search', 'key', 'web', 'identity', 'management', 'sxsw']"
3747,"['link', 'coinsidence', 'sound', 'like', 'good', 'strategy', 'wish', 'could', 'sxsw']"
1279,"['mention', 'unload', 'apple', 'store', 'corner', '6th', 'congress', 'austin', 'temp', 'store', 'sxsw', 'link', 'dis', 'awesome']"
3888,"['fiendishly', 'clever', 'pop', 'apple', 'store', 'selling', 'ipad', 'sxsw', 'mention', 'apple', 'store', 'sxsw', 'link', 'photo']"
6261,"['mention', 'livetapp', 'raffle', 'ipad', 'sxsw', 'check', 'tweet', 'sxsw', 'show', 'enter', 'win', 'music', 'reward']"
6924,"['mention', 'brand', 'focus', 'purpose', 'object', 'survive', 'amp', 'succeed', 'google', 'search', 'useful', 'info', 'nike', 'sneaker', 'performance', 'sxsw']"
5695,"['mention', 'egyptian', 'content', 'flood', 'quot', 'google', 'put', 'two', 'server', 'web', 'come', 'back', 'quot', 'sxsw', 'sxswsa']"
5165,"['mention', 'quot', 'google', 'map', 'usage', 'mobile', 'quot', 'marissa', 'mayer', 'sxsw']"
1283,"['apple', 'pop', 'store', 'line', 'ridic', 'sxsw', 'link']"
2345,"['mention', 'check', 'mention', 'sxsw', 'free', 'app', 'festival', 'explorer', 'find', 'band', 'want', 'see', 'music', 'taste', 'link']"
6790,"['mention', 'win', 'picture', 'android', 'google', 'sxsw', 'link']"
4190,"['google', 'soll', 'noch', 'heute', 'social', 'network', 'google', 'circle', 'starten', 'link', 'sxsw', 'via', 'mention', 'mention']"
8331,"['gotta', 'sleep', 'sxsw', 'score', 'ipad', 'damn', 'thing', 'everywhere', 'austin']"
1438,"['mention', 'new', 'ubersocial', 'iphone', 'app', 'store', 'include', 'uberguide', 'sxsw', 'sponsor', 'mashable', 'link']"
2274,"['mention', 'blogging', 'ipad', 'note', 'next', 'step', 'hope', 'great', 'time', 'sxsw']"
8750,"['twitter', 'buzz', 'apple', 'store', 'link', 'mention', 'temporary', 'apple', 'store', 'open', 'mention', '6th', 'amp', 'congress', 'tomorrow', 'ipad2', 'sxsw']"
112,"['spark', 'android', 'teamandroid', 'award', 'sxsw', 'read', 'link']"
4746,"['interested', 'mention', 'google', 'launch', 'major', 'new', 'social', 'network', 'call', 'circle', 'possibly', 'today', 'link', 'sxsw']"
7025,"['guy', 'front', 'apple', 'store', 'austin', 'read', 'bible', 'wonder', 'someone', 'would', 'give', 'ipad', 'bible', 'app', 'sxsw']"
5051,"['mention', 'mention', 'love', 'mention', 'mention', 'sxsw', 'quot', 'apple', 'come', 'cool', 'technology', 'one', 'ever', 'hear', 'conference', 'quot']"
1845,"['watch', 'talk', 'guy', 'hire', 'jony', 'ive', 'apple', 'sxsw', 'industrialdesign']"
7875,"['posterous', 'join', 'sxsw', 'pile', 'posterous', 'event', 'iphone', 'link']"
3618,"['wonder', 'apple', 'set', 'makeshift', 'shop', 'sxsw', 'sell', 'ipad2', 'tomorrow']"
3858,"['else', 'excite', 'sxsw', 'possibility', 'google', 'circle', 'anybody', 'austin', 'give', 'update', 'goog']"
8060,"['indie', 'song', 'rock', 'various', 'artist', 'sxsw', 'featured', 'artist', 'link', 'itunes']"
6473,"['mention', 'register', 'private', 'beta', 'win', 'apple', 'sxsw', 'visit', 'link', 'detail']"
8775,"['head', 'ballroom', 'mom', 'ipad', 'design', 'boomer', 'sxsw']"
7067,"['apple', 'pop', 'store', 'plan', 'sxsw', 'austin', 'link']"
6005,"['mention', 'hey', 'vufinders', 'awesome', 'new', 'update', 'mention', 'iphone', 'app', 'link', 'speedup', 'object', 'tag', 'outside', 'sxsw', 'conf', 'hour']"
2866,"['like', 'vega', 'ce', 'iphone', 'best', 'use', 'hand', 'warmer', 'sxsw']"
1299,"['encounter', 'charm', 'intense', 'mention', 'thethankyoueconomy', 'bright', 'mention', 'localmind', 'suffer', 'mention', 'fun', 'mention', 'party', 'sxsw']"
3004,"['sxsw', 'interactive', 'google', 'ûªs', 'mobile', 'future', 'elusive', 'power', 'mention', 'link']"
741,"['location', 'pixieengine', 'mention', 'google', 'say', 'future', 'location', 'location', 'location', 'link', 'sxsw', 'cnn']"
3915,"['sxsw', 'digital', 'innovator', 'new', 'rock', 'star', 'like', 'mention', 'awesome', 'talk', 'insight', 'mention', 'future', 'musicconnex']"
8012,"['mention', 'show', 'apple', 'position', 'tablet', 'war', 'tapworthy', 'sxsw', 'link']"
5786,"['mention', 'go', 'sxsw', 'new', 'iphone', 'guide', 'austin', 'mention', 'free', 'march', 'hard', 'beat', 'free']"
3356,"['download', 'gowalla', 'android', 'time', 'sxsw', 'huh', 'mention', 'foliot', 'international', 'link']"
6946,"['mention', 'win', 'ipad', 'come', 'meet', 'aquent', 'talent', 'agent', 'drop', 'name', 'sxsw', 'booth', '1413', 'link']"
5138,"['mention', 'mention', 'new', 'ipad', 'apps', 'speechtherapy', 'communication', 'showcased', 'sxsw', 'conference', 'link', 'iear', 'edchat', 'asd']"
525,"['hey', 'sxsw', 'friend', 'anyone', 'iphone', 'charger', 'mention', 'borrow', 'tonight', 'lmk']"
6986,"['mention', 'yes', 'update', 'iphone', 'app', 'song', 'info', 'mention', 'stream', 'others', 'also', 'live', 'video', 'stream', 'sxsw', 'link']"
2909,"['perhaps', 'vend', 'machine', 'novel', 'mention', 'ipad', 'pop', 'store', 'open', 'austin', 'sxsw', 'detail', 'link']"
2583,"['already', 'jealous', 'mention', 'apple', 'popup', 'store', 'sxsw', 'link', 'gonnagetanipad2']"
8411,"['mention', 'make', 'want', 'iphone', 'use', 'uppward', 'tshirt', 'clever', 'design', 'sxsw', 'jerk']"
5093,"['mention', 'mention', 'anyone', 'know', 'mention', 'find', 'deaddd', 'iphone', 'outside', 'blogger', 'lounge', 'contact', 'reunite', 'sxsw']"
4455,"['sit', 'ground', 'wait', 'ipad', 'austin', 'apple', 'popup', 'store', 'sxsw', 'geek', 'link']"
7792,"['n22', 'opportunity', 'knock', 'link', 'code', 'valid', '59p', 'infektd', 'sxsw', 'necro']"
6179,"['mention', 'rumor', 'apple', 'open', 'temporary', 'store', 'downtown', 'austin', 'sxsw', 'ipad2', 'launch', 'link']"
436,"['take', 'design', 'ipad', 'interface', 'new', 'navigation', 'schema', 'sxsw', 'link', 'sxsw', 'uxdes']"
3814,"['win', 'free', 'ipad', 'webdoc', 'com', 'sxsw']"
6513,"['mention', 'mention', 'arrive', 'sxsw', 'look', 'microsim', 'data', 'iphone', 'recommendation', 'mention']"
309,"['sxsw', 'attend', 'sxsw', 'report', 'see', 'android', 'phone', 'get', 'bannka', 'app']"
8921,"['anyone', 'sxsw', 'wanna', 'bring', 'back', 'window', 'foam', 'link', 'microsoft']"
7208,"['alarm', 'allow', 'user', 'generate', 'content', 'say', 'google', 'richard', 'salgado', 'privacybootcamp', 'sxsw']"
5383,"['mention', 'mention', 'record', 'cover', 'exclusively', 'apartmovie', 'produce', 'dan', 'auerbach', 'buy', 'link', 'sxsw']"
4202,"['hello', 'holler', 'gram', 'get', 'know', 'mention', 'new', 'ipad', 'app', 'link', 'hollergram', 'sxsw']"
88,"['thanks', 'mention', 'try', 'contact', 'friend', 'family', 'japan', 'mention', 'create', 'person', 'finder', 'link', 'sxsw']"
8645,"['highly', 'doubt', 'mention', 'announce', 'new', 'social', 'effort', 'sxsw', 'today', 'seem', 'style', 'greatly', 'look', 'forward', 'see']"
3007,"['line', 'wait', 'temp', 'apple', 'store', 'open', 'sxsw', 'miss', 'product', 'launch']"
402,"['tool', 'collaboration', 'across', 'boundary', 'google', 'webex', 'dropbox', 'whiteboarding', 'basecamp', 'join', 'ipad', 'sxsw', 'evolvingworkplace']"
2575,"['one', 'lone', 'dude', 'await', 'ipad', 'apple', 'ûªs', 'sxsw', 'store', 'link', 'apple', 'ipad2', 'sxsw', 'tablet']"
1021,"['hey', 'sxsw', 'presenter', 'amp', 'attendee', 'tip', 'show', 'presentation', 'ipad', 'iphone', 'link']"
882,"['comprando', 'ipad', 'sxsw', 'mention', 'apple', 'store', 'sxsw', 'others', 'link']"
9009,"['happy', 'discovr', 'name', 'one', 'top', 'ten', 'must', 'apps', 'ipad', 'fight', 'way', 'thru', 'queue', 'sxsw']"
6640,"['mention', 'sam', 'unlock', 'tightasstraveler', 'achievement', 'sxsw', 'use', 'google', 'map', 'transit', 'instruction']"
5844,"['mention', 'google', 'look', 'future', 'mobile', 'location', 'base', 'device', 'link', 'sxsw']"
6795,"['mention', 'best', 'thing', 'saw', 'sxsw', 'tonight', 'mention', 'security', 'guard', 'protect', 'ipad', 'awesome', 'link']"
4631,"['start', 'think', 'blackberry', 'like', 'abacus', 'phone', 'damn', 'iphone', 'sxsw', 'want', 'abacus']"
5256,"['mention', 'sxsw', 'mention', 'devops', 'mention', 'umm', 'meant', 'google', 'quot', 'complex', 'system', 'fail', 'quot', 'write', 'doctor', 'read', 'like', 'guy']"
7457,"['apple', 'mention', 'apple', 'open', 'pop', 'store', 'austin', 'nerd', 'town', 'sxsw', 'get', 'new', 'ipads', 'link']"
4881,"['welcome', 'make', 'friend', 'spend', 'lotsa', 'money', 'amp', 'importantly', 'look', 'iphone', 'occasionally', 'expect', 'get', 'run', 'sxsw']"
258,"['see', 'anything', 'google', 'circle', 'sxsw', 'mention', 'mention']"
4948,"['google', 'map', 'usage', 'mobile', 'sxsw']"
289,"['mention', 'apple', 'store', 'downtown', 'austin', 'open', 'til', 'midnight', 'sxsw', 'ipad2', 'leave', 'stock']"
6966,"['mention', 'wonder', 'google', 'impactdashboard', 'demo', 'become', 'part', 'google', 'analytics', 'bavcid', 'sxsw']"
6947,"['mention', 'win', 'openbeta6', 'ipad', 'mention', 'sxsw', 'panel', 'link', 'today', 'mention', 'usguys', 'mention', 'dgtltribe', 'sxswbuffalo']"
5550,"['mention', 'even', 'begin', 'apple', 'winsåê', 'sxsw', 'link', 'gonna', 'get', 'sum', 'via', 'mention']"
6004,"['mention', 'hey', 'sxsw', 'offer', 'link']"
477,"['even', 'begin', 'apple', 'win', 'sxsw', 'link', 'apple', 'ipad2', 'sxsw']"
5767,"['mention', 'genius', 'move', 'apple', 'open', 'temp', 'store', 'downtown', 'austin', 'sxsw', 'link', 'via', 'mention', 'ipad2']"
8735,"['geeking', 'youtube', 'apis', 'sxsw', 'mention', 'google', 'teach', 'theatre', 'link']"
6609,"['mention', 'mention', 'texas', 'observer', 'tomlinson', 'say', 'would', 'double', 'revenue', 'per', 'issue', 'ipad', 'subscription', 'newsapps', 'sxsw']"
2115,"['flash', 'discussion', 'still', 'relevant', 'sxsw', 'tapworthy', 'ipad', 'design', 'headache']"
3721,"['bored', 'keynote', 'sxsw', 'ipad', 'link']"
738,"['think', 'break', 'mention', 'iphone', 'app', 'sxsw', 'sorry']"
2596,"['white', 'ipad2', '64gig', 'wifi', 'available', 'austin', 'sxsw', 'apple', 'popup', 'store', 'right', 'wait']"
5791,"['mention', 'good', 'cnn', 'article', 'sxsw', 'important', 'social', 'web', 'innovator', 'link', 'bring', 'griddler', 'ipad', 'app']"
6572,"['mention', 'mention', 'rumor', 'apple', 'open', 'temporary', 'store', 'downtown', 'austin', 'sxsw', 'cont', 'link']"
1818,"['enjoy', 'google', 'ice', 'cream', 'sandwich', 'gsd', 'amp', 'party', 'edible', 'wrapper', 'welivehere', 'gsdm', 'sxsw', 'link']"
4437,"['lisa', 'cohen', 'announce', 'mention', 'iphone', 'app', 'month', 'sweet', 'comcom', 'sxsw']"
544,"['zaarly', 'give', 'away', 'ipad', 'sxsw', 'person', 'beta', 'signup', 'referral', 'link', 'craigslistkiller']"
7253,"['bank', 'innovate', 'die', 'great', 'session', 'quot', '250k', 'customer', 'join', 'bank', 'america', '1st', 'release', 'iphone', 'app', 'quot', 'sxsw']"
4950,"['google', 'map', 'usage', 'mobile', '150', 'million', 'mobile', 'user', 'sxsw', 'via', 'mention']"
6902,"['mention', 'launching', 'product', 'sxsw', 'plenty', 'else', 'link', 'googlecircle']"
4199,"['yes', 'gowalla', 'win', 'best', 'andoid', 'app', 'team', 'android', 'choice', 'award', 'thanks', 'sxsw']"
8917,"['sxsw', 'iphone', 'use', 'free', 'ispyart', 'app', 'send', 'photo', 'artallaround', 'mention', 'link']"
6600,"['mention', 'mention', 'reaction', 'google', 'circle', 'news', 'far', 'range', 'quot', 'quot', 'quot', 'please', 'rescue', 'facebook', 'quot', 'sxsw']"
2479,"['read', 'recap', 'online', 'keep', 'show', '600', 'unread', 'post', 'google', 'reader', 'completely', 'detach', 'sxsw']"
1840,"['rumor', 'apple', 'open', 'temporary', 'store', 'downtown', 'austin', 'sxsw', 'ipad', 'launch', 'link']"
1996,"['mention', 'android', 'dev', 'sxsw', 'mention', 'link']"
7881,"['move', 'like', 'wonder', 'apple', 'stay', 'top', 'link', 'sxsw']"
2964,"['mention', 'seem', 'hold', 'well', 'surprisingly', 'big', 'event', 'sxsw', 'lxh', 'google']"
2215,"['marissa', 'mayer', 'rechristening', 'augment', 'reality', 'quot', 'contextual', 'discovery', 'sxsw', 'sxswi', 'google', 'tcs_dw']"
3886,"['surprised', 'local', 'news', 'austin', 'mention', 'traffic', 'implication', 'apple', 'pop', 'store', 'launch', 'today', 'sxsw']"
7301,"['tip', 'mention', 'iphone', 'user', 'turn', 'screen', 'brightness', 'way', 'conserve', 'battery', 'power', 'huge', 'difference', 'sxsw']"
7808,"['dude', 'interview', 'donkey', 'iphone', 'app', 'hpsxsw', 'sxsw', 'link']"
8450,"['enjoy', 'rooftop', 'terrace', 'speakeasy', 'reassure', 'extraordinary', 'hacking', 'google', 'mean', 'soft', 'couch', 'bar', 'sxsw']"
801,"['google', 'launch', 'major', 'new', 'social', 'network', 'call', 'circle', 'possibly', 'today', 'mention', 'link', 'via', 'mention', 'sxsw', 'screenfuture']"
8805,"['love', 'new', 'mention', 'iphone', 'sxsw', 'channel', 'mention']"
7461,"['android', 'apps', 'survive', 'sxsw', '2011', 'link', 'mention', 'sxsw']"
1406,"['quot', 'like', 'believe', 'three', 'boyfriend', 'since', 'first', 'ipad', 'quot', 'sxsw']"
57,"['link', 'mention', '1st', 'stop', 'sxsw', 'chaos', 'amp', 'mention', 'hunt', 'austin', 'java', 'get', 'spy', 'game', 'chance', 'win', 'ipad']"
6926,"['mention', 'someone', 'go', 'ask', 'bing', 'copy', 'google', 'search', 'result', 'qagb', 'sxsw', 'seo']"
70,"['check', 'mention', 'give', 'add', 'value', 'location', 'base', 'service', 'needs', 'battle', 'check', 'fatigue', 'google', 'pnid', 'sxsw']"
4695,"['mention', 'buy', 'ipad', 'wait', 'ipad', 'teleport', 'capability', 'sxsw']"
4833,"['head', 'austin', 'sxsw', 'mention', 'austin', 'guide', 'iphone', 'free', 'limited', 'time', 'link', 'travel']"
712,"['flipboard', 'develop', 'iphone', 'version', 'android', 'say', 'mention', 'sxsw']"
5818,"['mention', 'google', 'developer', 'hackathon', 'mention', 'discussion', 'web', 'font', 'google', 'get', '32000', 'font', 'request', 'day', 'sxsw', 'gsdm', 'google', 'com', 'webfonts']"
266,"['say', 'apple', 'sxsw', 'popup', 'store', 'austin', 'link', 'mention', 'mention']"
1587,"['woot', 'mention', 'first', 'android', 'mention', 'disc', 'link', 'market', 'version', 'come', 'soon', 'sxsw']"
3705,"['spot', 'lot', 'ipad', 'wild', 'sxsw', 'start', 'sell', '5pm', 'yesterday']"
5467,"['mention', 'apple', 'set', '000', 'square', 'foot', 'temporary', 'store', 'sxsw', 'sell', 'new', 'ipads', 'test', 'potential', 'traffic', 'link']"
4581,"['covet', 'new', 'ipad', 'link', 'sxsw']"
1075,"['see', 'two', 'impressive', 'line', 'since', 'sxsw', 'one', 'apple', 'store', 'yesterday', 'amp', 'mention', 'party', 'mention']"
5724,"['mention', 'first', 'stop', 'sxsw', 'mention', 'amp', 'mention', 'hunt', 'austin', 'java', 'get', 'spy', 'game', 'chance', 'win', 'ipad']"
1414,"['brandnew', 'google', 'try', 'social', 'network', 'time', 'circle', 'launch', 'mention', 'sxsw', 'perhaps', 'wha', 'cont', 'link']"
6704,"['mention', 'sxsw', 'quotables', 'give', 'away', 'ipad', 'today', 'need', 'sign', 'link', 'enter', 'automatically', 'sxsw']"
3740,"['link', 'think', 'get', 'bos', 'buy', 'new', 'ipads', 'weekend', 'sxsw']"
7824,"['watch', 'mention', 'sxsw', 'ecademy', 'mention', 'link']"
